"","Estimate","Std. Error","z value","Pr(>|z|)","2.5%","97.5%","AIC","BIC"
"(Intercept)",-8.79442917337448,0.021999551872628,-399.754923386262,0,-8.83774786026797,-8.75150952930165,399.685087060438,403.012210352697
"Date",-0.000568652260292281,0.000999393685816373,-0.568997251396248,0.569358005243721,-0.00252755254117582,0.00139009401080367,399.685087060438,403.012210352697
