"","Estimate","Std. Error","z value","Pr(>|z|)","2.5%","97.5%","AIC","BIC"
"(Intercept)",-8.63440086489314,0.013642839685346,-632.888831360195,0,-8.66118757185756,-8.60770843358312,33452.5402712786,33627.5369572156
"HBS08000016",-0.106661174893883,0.0208339345887693,-5.11958864224235,3.06202820480703e-07,-0.14765426109712,-0.0659835930893856,33452.5402712786,33627.5369572156
"HBS08000017",-0.125889940166517,0.0189958187008128,-6.62724477156285,3.42010264626388e-11,-0.163233022149128,-0.0887684621350519,33452.5402712786,33627.5369572156
"HBS08000019",-0.0663785479929246,0.0147000901779,-4.51551978182539,6.31616499407143e-06,-0.0952086853291229,-0.037584384638142,33452.5402712786,33627.5369572156
"HBS08000020",-0.227922330728105,0.0129866933433636,-17.5504514276204,5.90091316903418e-69,-0.253363696034022,-0.202456100723487,33452.5402712786,33627.5369572156
"HBS08000022",-0.193339189626646,0.0150142543249238,-12.8770424053429,6.0614144946582e-38,-0.22279109877323,-0.163935227791487,33452.5402712786,33627.5369572156
"HBS08000024",-0.230313543068888,0.0119799141315274,-19.2249744480869,2.2875176932225e-82,-0.253765468726492,-0.206804510343274,33452.5402712786,33627.5369572156
"HBS08000025",-0.140651541352374,0.0599357531659642,-2.34670516215763,0.018940235676085,-0.260348553607713,-0.0253169882724042,33452.5402712786,33627.5369572156
"HBS08000026",0.0122270822850091,0.0447123866016568,0.27346073905516,0.784499068225996,-0.0765865354838221,0.0987185176646333,33452.5402712786,33627.5369572156
"HBS08000028",0.232523534814307,0.0396876866053921,5.85883317226949,4.66130665304632e-09,0.153837360072409,0.309434881153659,33452.5402712786,33627.5369572156
"HBS08000029",-0.301861383650667,0.0148646327826664,-20.3073555912303,1.1070657219038e-91,-0.331017156599001,-0.272747824846462,33452.5402712786,33627.5369572156
"HBS08000030",-0.278080378635267,0.0143898158297139,-19.3248045649794,3.3223956106103e-83,-0.306296513658311,-0.249888531893961,33452.5402712786,33627.5369572156
"HBS08000031",0.00691167372888259,0.0111191862427202,0.621598881249757,0.534205656838961,-0.0148404650612291,0.0287464144485813,33452.5402712786,33627.5369572156
"HBS08000032",-0.494811388287712,0.0134377195890522,-36.8225713454267,8.03859126050481e-297,-0.521144427036264,-0.468468769177804,33452.5402712786,33627.5369572156
"CancerTypeCervical",-2.96297287396308,0.0252523045758681,-117.334751173348,0,-3.01284045731355,-2.91384681071065,33452.5402712786,33627.5369572156
"CancerTypeColorectal",-0.535438511235097,0.00894820916007581,-59.8375050981219,0,-0.552990024317757,-0.517913459218081,33452.5402712786,33627.5369572156
"CancerTypeHead & Neck",-1.88696587164657,0.0150885734896418,-125.059262424109,0,-1.91664744841608,-1.85750005451322,33452.5402712786,33627.5369572156
"CancerTypeLung",-0.409650935779401,0.00861542859176303,-47.5485266247876,0,-0.426546458595228,-0.392774395688939,33452.5402712786,33627.5369572156
"CancerTypeLymphoma",-2.12188655974321,0.0170447223283887,-124.489359161288,0,-2.15544251979236,-2.08862655841165,33452.5402712786,33627.5369572156
"CancerTypeMelanoma",-1.79626764452687,0.0144898802280849,-123.967045707201,0,-1.82476438359016,-1.767963979739,33452.5402712786,33627.5369572156
"CancerTypeOvarian",-2.52872320705752,0.0201441736983803,-125.531245159033,0,-2.56842878290929,-2.4894618883136,33452.5402712786,33627.5369572156
"CancerTypeUpper GI",-0.881612461590286,0.010046851639334,-87.7501224501734,0,-0.901330704903653,-0.861947434281126,33452.5402712786,33627.5369572156
"CancerTypeUrological",-0.458116264901183,0.00873810423969542,-52.4274204489407,0,-0.475253600322785,-0.441000648209574,33452.5402712786,33627.5369572156
"Date",-0.0035734636415652,0.00125021625018048,-2.8582764310169,0.0042594914618715,-0.00602200243325017,-0.00112123221518139,33452.5402712786,33627.5369572156
"DateSquared",0.000342159864636715,3.71211646985437e-05,9.21737955733213,3.04449275244646e-20,0.000269360752520428,0.000414873371501408,33452.5402712786,33627.5369572156
"JustPandemic",0.0400513086948541,0.00429449726252109,9.32619262431242,1.09742350000665e-20,0.031636676507061,0.0484709245553431,33452.5402712786,33627.5369572156
"Pandemic_cat",-0.33405656975271,0.0181259450639838,-18.4297463427978,7.58378017665457e-76,-0.369648692951321,-0.298595679043996,33452.5402712786,33627.5369572156
