"","Estimate","Std. Error","z value","Pr(>|z|)","2.5%","97.5%","AIC","BIC"
"(Intercept)",-7.84260703109077,0.0139829256637044,-560.870251312849,0,-7.87009435516095,-7.81528175279187,472.571776863153,479.226023447671
"Date",0.00183537376200398,0.000740001572713634,2.48022954231509,0.0131297828193371,0.000385118397897165,0.00328590711569592,472.571776863153,479.226023447671
"Pandemic_cat",-0.339867042293047,0.0423302749137605,-8.02893538928009,9.83221181933754e-16,-0.423300132153186,-0.257360209273738,472.571776863153,479.226023447671
"JustPandemic",0.0715217986998173,0.00984632060913696,7.26380965428326,3.76337497262634e-13,0.0522388501451029,0.09083793372939,472.571776863153,479.226023447671
