"","Estimate","Std. Error","z value","Pr(>|z|)","2.5%","97.5%","AIC","BIC"
"(Intercept)",-7.76952577384606,0.0149147799739434,-520.927951161175,0,-7.79885283422283,-7.74038748564999,862.091806791187,868.746053375706
"Date",0.00978321123819432,0.0020793528711295,4.70493073784062,2.5395215539556e-06,0.00571269393864037,0.0138636645313954,862.091806791187,868.746053375706
"DateSquared",-0.000237919210808976,6.08542132651813e-05,-3.90965880656788,9.24265764047157e-05,-0.000357295698704826,-0.000118750165069139,862.091806791187,868.746053375706
"JustPandemic",0.0118068646263714,0.00583383635817715,2.02385941282395,0.0429846190433197,0.00037030023944029,0.0232387960651616,862.091806791187,868.746053375706
