"","Estimate","Std. Error","z value","Pr(>|z|)","2.5%","97.5%","AIC","BIC"
"(Intercept)",-7.7388456861753,0.00686364873710635,-1127.51190840193,0,-7.75231342992775,-7.72540835432714,54482.2990304725,54645.2238597579
"HBS08000016",-0.0363494316579972,0.0115734843749206,-3.1407509165317,0.00168515286158848,-0.0590798687571344,-0.0137120270973943,54482.2990304725,54645.2238597579
"HBS08000017",0.118052040078865,0.00992277984751565,11.8970733900159,1.22570610146174e-32,0.0985798093857841,0.137476743269681,54482.2990304725,54645.2238597579
"HBS08000019",-0.0681354563151851,0.00841356649816939,-8.09828463708106,5.57395317110874e-16,-0.0846318632721785,-0.0516510858942353,54482.2990304725,54645.2238597579
"HBS08000020",-0.0784202219454995,0.00719420865164082,-10.9004653246488,1.14669350327812e-27,-0.0925144906489647,-0.0643135825364378,54482.2990304725,54645.2238597579
"HBS08000022",-0.115275153737866,0.00839421284935783,-13.732693679156,6.46831950991273e-43,-0.131733417521152,-0.098828509506287,54482.2990304725,54645.2238597579
"HBS08000024",-0.135508525810784,0.00674331096758218,-20.0952509030398,8.12030622240474e-90,-0.148715011377503,-0.122281608162082,54482.2990304725,54645.2238597579
"HBS08000025",-0.446468908353051,0.036788669465902,-12.1360439188176,6.803674870556e-34,-0.519421225397309,-0.375173561139871,54482.2990304725,54645.2238597579
"HBS08000026",-0.0485724906327975,0.0249046616632323,-1.95033730189183,0.051135929448414,-0.0977522705243908,-0.000109572162199027,54482.2990304725,54645.2238597579
"HBS08000028",0.114969668751794,0.0230009134679385,4.99848273035122,5.77831807104923e-07,0.0695852429484588,0.159755144590637,54482.2990304725,54645.2238597579
"HBS08000029",-0.1404465415765,0.00812601679734579,-17.2835652545506,6.25586751006298e-67,-0.156376303070333,-0.124522717273733,54482.2990304725,54645.2238597579
"HBS08000030",0.0937788909069971,0.00746836930037159,12.5568095437288,3.6474607905928e-36,0.0791446935161684,0.108420304967488,54482.2990304725,54645.2238597579
"HBS08000031",0.154703331331588,0.0062515051473263,24.7465734548348,3.37513041534547e-135,0.142464873156099,0.166970416653852,54482.2990304725,54645.2238597579
"HBS08000032",-0.33575013951746,0.00740987506864196,-45.3111741300916,0,-0.350269131747319,-0.32122281587442,54482.2990304725,54645.2238597579
"CancerTypeCervical",-2.86595409889903,0.0144078988643131,-198.91547864746,0,-2.89431318241595,-2.83783311316051,54482.2990304725,54645.2238597579
"CancerTypeColorectal",-0.394167977801505,0.00520888965601748,-75.672168894219,0,-0.404380578495662,-0.383962040570116,54482.2990304725,54645.2238597579
"CancerTypeHead & Neck",-1.44029503506274,0.00756260594995311,-190.449567859829,0,-1.45514016640476,-1.42549512134323,54482.2990304725,54645.2238597579
"CancerTypeLung",-0.12675236999992,0.00483305529317008,-26.2261369488247,1.33806281945927e-151,-0.136225925045913,-0.117280643700272,54482.2990304725,54645.2238597579
"CancerTypeLymphoma",-1.52917259957445,0.00787121630861574,-194.27399014567,0,-1.54462566845896,-1.51377086192298,54482.2990304725,54645.2238597579
"CancerTypeMelanoma",-1.36143277586103,0.00732767993501232,-185.793155259959,0,-1.37581521444219,-1.34709107330702,54482.2990304725,54645.2238597579
"CancerTypeOvarian",-2.33929594563852,0.0111915527491769,-209.023358783755,0,-2.36129761576881,-2.31742678676091,54482.2990304725,54645.2238597579
"CancerTypeUpper GI",-0.674635092054097,0.00569020629786909,-118.560743976319,0,-0.685794428718351,-0.663489147465077,54482.2990304725,54645.2238597579
"CancerTypeUrological",0.0518004828627719,0.00461808289598025,11.2168802573598,3.36948286207161e-29,0.0427495695094166,0.0608521703276624,54482.2990304725,54645.2238597579
"Date",0.00228246980500217,0.000161989239013523,14.090255741072,4.35979896682244e-45,0.00196499660765933,0.00259998386344156,54482.2990304725,54645.2238597579
"JustPandemic",-0.00911257417117806,0.00126317073302216,-7.21404789784515,5.43126374060802e-13,-0.0115901764119548,-0.0066386229443243,54482.2990304725,54645.2238597579
