"","Estimate","Std. Error","z value","Pr(>|z|)","2.5%","97.5%","AIC","BIC"
"(Intercept)",-7.82414560817918,0.0137566238464056,-568.754782825838,0,-7.85118777359423,-7.79726238000826,538.039915010618,543.030599949007
"Date",7.51413687709023e-05,0.000709928722151561,0.105843539536157,0.915706491234496,-0.00131596642144198,0.00146692797398582,538.039915010618,543.030599949007
"JustPandemic",0.00493276926977644,0.00548699299149743,0.898993178489601,0.368656294137725,-0.00585526958195777,0.0156540460088565,538.039915010618,543.030599949007
