"","Estimate","Std. Error","z value","Pr(>|z|)","2.5%","97.5%","AIC","BIC"
"(Intercept)",-7.73075177662164,0.00676926126790068,-1142.03773065759,0,-7.74403472120323,-7.71749963677783,54532.6228698941,54689.030706008
"HBS08000016",-0.0363221741794981,0.0115734843734786,-3.13839575078469,0.00169875349982096,-0.0590526117570494,-0.0136847691369276,54532.6228698941,54689.030706008
"HBS08000017",0.118032410219039,0.0099227789162533,11.8950962442289,1.25508250658329e-32,0.098560181338251,0.137457111588406,54532.6228698941,54689.030706008
"HBS08000019",-0.0681088146386961,0.00841356574980518,-8.09511884307473,5.72084720289909e-16,-0.084605220172104,-0.0516244456434511,54532.6228698941,54689.030706008
"HBS08000020",-0.0783993838109117,0.00719420814766584,-10.8975695728721,1.18377067253561e-27,-0.0924936515577842,-0.0642927453568112,54532.6228698941,54689.030706008
"HBS08000022",-0.115256909589807,0.00839421260647475,-13.7305206566849,6.66528053816903e-43,-0.131715172921821,-0.0988102658101813,54532.6228698941,54689.030706008
"HBS08000024",-0.1354742951611,0.00674331003368348,-20.0901774476322,8.99400839312481e-90,-0.148680778909853,-0.12224737932533,54532.6228698941,54689.030706008
"HBS08000025",-0.446711518879074,0.0367886504805444,-12.1426448930307,6.27638867519825e-34,-0.519663801594733,-0.375416207643146,54532.6228698941,54689.030706008
"HBS08000026",-0.0484422778681424,0.0249046800593254,-1.94510741566437,0.0517620515738706,-0.0976220470232392,2.06305987017351e-05,54532.6228698941,54689.030706008
"HBS08000028",0.11501623189631,0.0230009250926076,5.00050460723754,5.71804616181962e-07,0.0696318048986066,0.159801709114617,54532.6228698941,54689.030706008
"HBS08000029",-0.140439236478109,0.00812601681125735,-17.2826662484321,6.35415624531766e-67,-0.156368998042479,-0.12451541210478,54532.6228698941,54689.030706008
"HBS08000030",0.0937997752142069,0.00746836899066595,12.5596064323333,3.52079694100645e-36,0.0791655784023505,0.108441188696238,54532.6228698941,54689.030706008
"HBS08000031",0.154723669033747,0.00625150479318022,24.7498281057923,3.1135268691057e-135,0.142485211529102,0.166990753688144,54532.6228698941,54689.030706008
"HBS08000032",-0.335744686702364,0.00740987508469362,-45.3104381470482,0,-0.350263678996628,-0.321217362995044,54532.6228698941,54689.030706008
"CancerTypeCervical",-2.86594875191329,0.0144078988395449,-198.915107874523,0,-2.89430783640837,-2.83782776518539,54532.6228698941,54689.030706008
"CancerTypeColorectal",-0.394167248627314,0.00520888913916639,-75.6720364162704,0,-0.404379848243582,-0.383961312473908,54532.6228698941,54689.030706008
"CancerTypeHead & Neck",-1.44030532117435,0.00756260598246917,-190.450927168904,0,-1.45515045249063,-1.42550540748308,54532.6228698941,54689.030706008
"CancerTypeLung",-0.126745862342279,0.00483305523405379,-26.2247907802141,1.38621635590244e-151,-0.136219417215457,-0.117274136216828,54532.6228698941,54689.030706008
"CancerTypeLymphoma",-1.52915904380544,0.00787121628301996,-194.272268582454,0,-1.54461211266689,-1.51375730617733,54532.6228698941,54689.030706008
"CancerTypeMelanoma",-1.36142756199202,0.00732768121967374,-185.792411156859,0,-1.375810003041,-1.34708585695626,54532.6228698941,54689.030706008
"CancerTypeOvarian",-2.33927445663248,0.0111915515991761,-209.021460152557,0,-2.36127612615452,-2.31740529837302,54532.6228698941,54689.030706008
"CancerTypeUpper GI",-0.674635108622111,0.00569020604125487,-118.560752234788,0,-0.68579444470466,-0.66348916461564,54532.6228698941,54689.030706008
"CancerTypeUrological",0.0518002928010527,0.00461808273563384,11.2168394908462,3.37103604970337e-29,0.0427493798085224,0.0608519799053851,54532.6228698941,54689.030706008
"Date",0.00160120478123708,0.000131729592692631,12.1552397491521,5.38037176515214e-34,0.00134302361364902,0.00185939500629385,54532.6228698941,54689.030706008
