"","Estimate","Std. Error","z value","Pr(>|z|)","2.5%","97.5%","AIC","BIC"
"(Intercept)",-7.75875421356334,0.0138961016614381,-558.340346278124,0,-7.78607179479901,-7.73159968609843,864.185998083888,869.176683022277
"Date",0.00727868969589226,0.00166822405667633,4.36313675418031,1.28210741273879e-05,0.00401300616983039,0.010552364973786,864.185998083888,869.176683022277
"DateSquared",-0.000149319073598864,4.21943856119093e-05,-3.53883748829178,0.000401893187217675,-0.000232103741609414,-6.67038592270514e-05,864.185998083888,869.176683022277
