"","Estimate","Std. Error","z value","Pr(>|z|)","2.5%","97.5%","AIC","BIC"
"(Intercept)",-7.75696868890092,0.0103553629639824,-749.077431267342,0,-7.77731001776325,-7.73671756144013,569.306633797525,574.297318735913
"Date",-0.00069620816131426,0.00053791389061574,-1.29427436892794,0.195570666550432,-0.00175034374407713,0.000358250808018128,569.306633797525,574.297318735913
"JustPandemic",0.00820875937407192,0.00418325787919632,1.9622886303268,0.0497288901612098,-9.88127671925758e-06,0.0163884989880909,569.306633797525,574.297318735913
