"","Estimate","Std. Error","z value","Pr(>|z|)","2.5%","97.5%","AIC","BIC"
"(Intercept)",-7.72296058155078,0.00943055597062367,-818.929510159096,0,-7.74148086550833,-7.70451363552454,874.755379741273,878.082503033532
"Date",0.00157056943920781,0.00042212692719394,3.72060946134868,0.000198742576353318,0.000743255469113199,0.00239796982341696,874.755379741273,878.082503033532
