"","Estimate","Std. Error","z value","Pr(>|z|)","2.5%","97.5%","AIC","BIC"
"(Intercept)",-9.16973549562363,0.0263769224594687,-347.642357053369,0,-9.22172199926882,-9.11832347796456,319.970093522367,323.297216814626
"Date",-0.000241501918954121,0.00119456871449586,-0.202166619654057,0.839786467951079,-0.00258286862372956,0.00209991766186811,319.970093522367,323.297216814626
