"","Estimate","Std. Error","z value","Pr(>|z|)","2.5%","97.5%","AIC","BIC"
"(Intercept)",-8.69397839271916,0.012069028467962,-720.354452373517,0,-8.71767965212218,-8.670369665331,33535.0258607343,33703.5411879329
"HBS08000016",-0.106673898206802,0.0208339368619071,-5.12019878498556,3.05213758784466e-07,-0.147666988828979,-0.0659963119116366,33535.0258607343,33703.5411879329
"HBS08000017",-0.125894676111127,0.0189958190271208,-6.6274939728255,3.41433572732609e-11,-0.163237758730161,-0.0887731974370832,33535.0258607343,33703.5411879329
"HBS08000019",-0.0664162343023593,0.014700090257416,-4.51808343617845,6.24018957512298e-06,-0.0952463717942529,-0.0376220707917146,33535.0258607343,33703.5411879329
"HBS08000020",-0.228049090831697,0.0129866863828538,-17.5602216076296,4.96808937033133e-69,-0.253490442482455,-0.202582874455652,33535.0258607343,33703.5411879329
"HBS08000022",-0.193401136425748,0.0150142525310815,-12.8811698101775,5.74580016940119e-38,-0.222853042062499,-0.163997178112248,33535.0258607343,33703.5411879329
"HBS08000024",-0.230313843954662,0.011979911750715,-19.2250033845964,2.28624206893684e-82,-0.253765764935175,-0.206804815884396,33535.0258607343,33703.5411879329
"HBS08000025",-0.139134235361734,0.0599355120977158,-2.32139895851555,0.0202653217011199,-0.258830792514385,-0.0238001724490094,33535.0258607343,33703.5411879329
"HBS08000026",0.0121100428351386,0.0447124088978866,0.270842997137446,0.786511788437143,-0.0767036174949031,0.0986015231045509,33535.0258607343,33703.5411879329
"HBS08000028",0.233247302169651,0.039687654798726,5.87707445432474,4.17580424315562e-09,0.154561188318157,0.31015858470903,33535.0258607343,33703.5411879329
"HBS08000029",-0.30181175307552,0.0148646323661782,-20.3040173238484,1.18490481301525e-91,-0.330967525208888,-0.272698195088986,33535.0258607343,33703.5411879329
"HBS08000030",-0.278129588146422,0.0143898103948288,-19.3282316107773,3.10892448961156e-83,-0.306345712531532,-0.249937752070649,33535.0258607343,33703.5411879329
"HBS08000031",0.00692722735392088,0.0111191867086904,0.622997664793843,0.533286056402131,-0.014824912353387,0.028761968982878,33535.0258607343,33703.5411879329
"HBS08000032",-0.494803547636068,0.0134377206729556,-36.8219848944991,8.21419876666471e-297,-0.521136588509937,-0.468460926402965,33535.0258607343,33703.5411879329
"CancerTypeCervical",-2.96282380803921,0.0252523069220179,-117.328837210349,0,-3.01269139591153,-2.91369774012164,33535.0258607343,33703.5411879329
"CancerTypeColorectal",-0.535438322272245,0.00894821180824357,-59.8374662721965,0,-0.552989840544958,-0.51791326506485,33535.0258607343,33703.5411879329
"CancerTypeHead & Neck",-1.88703729112349,0.0150885686515217,-125.06403587415,0,-1.91671885848214,-1.85757148354416,33535.0258607343,33703.5411879329
"CancerTypeLung",-0.409623405837994,0.00861543673482181,-47.5452862630145,0,-0.42651894461679,-0.392746849790832,33535.0258607343,33703.5411879329
"CancerTypeLymphoma",-2.12167733509558,0.0170447180695955,-124.477115223175,0,-2.15523328686386,-2.08841734217711,33535.0258607343,33703.5411879329
"CancerTypeMelanoma",-1.79635615219958,0.0144898744332959,-123.973203526994,0,-1.8248528799731,-1.7680524988365,33535.0258607343,33703.5411879329
"CancerTypeOvarian",-2.52866059430341,0.0201441820152383,-125.528085101225,0,-2.56836618626724,-2.48939925907129,33535.0258607343,33703.5411879329
"CancerTypeUpper GI",-0.88162263937845,0.0100468637940124,-87.7510293215951,0,-0.901340906485294,-0.861957588218438,33535.0258607343,33703.5411879329
"CancerTypeUrological",-0.458083911346787,0.00873808846663508,-52.4238124958225,0,-0.475221215850783,-0.440968325565677,33535.0258607343,33703.5411879329
"Date",0.00758264550313284,0.000318577233233624,23.8015925562773,3.21533392933222e-125,0.0069583059397094,0.00820710796194767,33535.0258607343,33703.5411879329
"Pandemic_cat",-0.284460677885057,0.0173413416644124,-16.4036141718389,1.80191703224992e-60,-0.318525794739354,-0.250548433643633,33535.0258607343,33703.5411879329
"JustPandemic",0.0532336830680915,0.00405100740107928,13.140850607656,1.92055600026794e-39,0.0452961333319238,0.0611759425957144,33535.0258607343,33703.5411879329
