"","Estimate","Std. Error","z value","Pr(>|z|)","2.5%","97.5%","AIC","BIC"
"(Intercept)",-7.80199804303949,0.0191161724790452,-408.135993310998,0,-7.83961936755716,-7.76468403243469,514.714501308782,519.705186247171
"Date",0.013219988510903,0.0023124618877017,5.71684600780256,1.0851937555966e-08,0.00869537781471881,0.0177602083625735,514.714501308782,519.705186247171
"DateSquared",-0.000380903740360976,5.8965551841751e-05,-6.45976724483521,1.04864143763967e-10,-0.000496650387688278,-0.000265506050963507,514.714501308782,519.705186247171
