"","Estimate","Std. Error","z value","Pr(>|z|)","2.5%","97.5%","AIC","BIC"
"(Intercept)",-7.73687818256728,0.00764091991034246,-1012.55847114625,0,-7.7518689882715,-7.72191707308271,54483.9560835215,54653.3979059783
"HBS08000016",-0.0363507817740973,0.0115734844512065,-3.14086755180353,0.00168448192519445,-0.0590812191576476,-0.0137133769267027,54483.9560835215,54653.3979059783
"HBS08000017",0.118052147645932,0.0099227798550416,11.8970842214092,1.22554706424033e-32,0.0985799169367908,0.13747685085292,54483.9560835215,54653.3979059783
"HBS08000019",-0.068134043135371,0.00841356684265345,-8.0981163410931,5.58166776321383e-16,-0.0846304507961186,-0.0516496720095848,54483.9560835215,54653.3979059783
"HBS08000020",-0.0784158300083466,0.00719421256495292,-10.8998489133271,1.15448828582643e-27,-0.092510106411155,-0.0643091829132391,54483.9560835215,54653.3979059783
"HBS08000022",-0.115273870425453,0.00839421312845611,-13.7325403419504,6.48202596677885e-43,-0.131732134779578,-0.0988272256222403,54483.9560835215,54653.3979059783
"HBS08000024",-0.135508562560735,0.00674331105276444,-20.095256099032,8.11945629750633e-90,-0.148715048314821,-0.122281644725271,54483.9560835215,54653.3979059783
"HBS08000025",-0.446560776410458,0.0367890063638112,-12.1384299427487,6.6081857531248e-34,-0.51951373312656,-0.375264759347293,54483.9560835215,54653.3979059783
"HBS08000026",-0.0485758027040898,0.0249046646200783,-1.9504700603327,0.0511201185000805,-0.0977555838616984,-0.000112882828250454,54483.9560835215,54653.3979059783
"HBS08000028",0.114942474183232,0.0230009612872545,4.99729001530578,5.81415947933079e-07,0.0695579578435028,0.159728043012031,54483.9560835215,54653.3979059783
"HBS08000029",-0.140446718019696,0.00812601680439872,-17.2835869529177,6.25351404168008e-67,-0.156376479546222,-0.124522893684237,54483.9560835215,54653.3979059783
"HBS08000030",0.0937770683832005,0.00746836986267328,12.5565645659699,3.65876855536554e-36,0.0791428698637789,0.108418483571522,54483.9560835215,54653.3979059783
"HBS08000031",0.154702771347803,0.00625150524551558,24.7464834903204,3.38266512813947e-135,0.142464312957996,0.166969856883302,54483.9560835215,54653.3979059783
"HBS08000032",-0.335750448395693,0.00740987508283217,-45.3112157279937,0,-0.350269440678876,-0.321223124699433,54483.9560835215,54653.3979059783
"CancerTypeCervical",-2.86595583667353,0.0144078980588485,-198.915610380338,0,-2.89431492054187,-2.83783485058782,54483.9560835215,54653.3979059783
"CancerTypeColorectal",-0.394168055188967,0.00520888962397782,-75.6721842164813,0,-0.404380655815537,-0.383962118025131,54483.9560835215,54653.3979059783
"CancerTypeHead & Neck",-1.44029543902561,0.00756260613261364,-190.449616675706,0,-1.45514057072022,-1.42549552495174,54483.9560835215,54653.3979059783
"CancerTypeLung",-0.126752717855322,0.00483305533117077,-26.2262087168403,1.33554304161384e-151,-0.136226272973506,-0.117280991483401,54483.9560835215,54653.3979059783
"CancerTypeLymphoma",-1.52917743773845,0.00787122052042172,-194.274500856764,0,-1.54463051486009,-1.51377569179329,54483.9560835215,54653.3979059783
"CancerTypeMelanoma",-1.36143373374844,0.00732768024106234,-185.793278221849,0,-1.37581617294145,-1.34709203057972,54483.9560835215,54653.3979059783
"CancerTypeOvarian",-2.33930000599999,0.0111915546966442,-209.023685216981,0,-2.36130168011438,-2.31743084308953,54483.9560835215,54653.3979059783
"CancerTypeUpper GI",-0.674634798961002,0.00569020620650023,-118.560694371731,0,-0.685794135437833,-0.663488854559699,54483.9560835215,54653.3979059783
"CancerTypeUrological",0.0517996864443421,0.00461808331623083,11.2167067801236,3.37609719657317e-29,0.0427487722679295,0.0608513747306506,54483.9560835215,54653.3979059783
"Date",0.00191669434895277,0.000645189272360816,2.97074739314772,0.00297076024822133,0.000652607866149633,0.00318170824599497,54483.9560835215,54653.3979059783
"DateSquared",1.10595067684371e-05,1.88837574299812e-05,0.585662403758597,0.55810240367537,-2.59615586881055e-05,4.80615458028866e-05,54483.9560835215,54653.3979059783
"JustPandemic",-0.00987563447575515,0.00181465179104414,-5.44216500625322,5.26368833607838e-08,-0.013432594186558,-0.00631927200018403,54483.9560835215,54653.3979059783
