"","Estimate","Std. Error","z value","Pr(>|z|)","2.5%","97.5%","AIC","BIC"
"(Intercept)",-7.74581755803684,0.00746773157322589,-1037.23834769423,0,-7.76046880174666,-7.73119577104319,54511.5864191358,54674.5112484211
"HBS08000016",-0.0363275314223058,0.0115734847186695,-3.13885854652791,0.0016960729971664,-0.0590579692399503,-0.0136901261371849,54511.5864191358,54674.5112484211
"HBS08000017",0.118041198350299,0.00992277930115355,11.8959814350176,1.24184489697485e-32,0.0985689686895992,0.137465900503496,54511.5864191358,54674.5112484211
"HBS08000019",-0.068129590575976,0.00841356678103392,-8.09758718853406,5.60599242657801e-16,-0.084625998068419,-0.0516452196187279,54511.5864191358,54674.5112484211
"HBS08000020",-0.078434347588397,0.00719421172529411,-10.9024241408728,1.12226827141965e-27,-0.0925286223052886,-0.0643277021762928,54511.5864191358,54674.5112484211
"HBS08000022",-0.115272934837031,0.00839421319210432,-13.732428781468,6.49201625289624e-43,-0.131731199269884,-0.0988262899549407,54511.5864191358,54674.5112484211
"HBS08000024",-0.135490474103498,0.00674331000593519,-20.0925767885868,8.56970852244976e-90,-0.14869695776241,-0.122263558356578,54511.5864191358,54674.5112484211
"HBS08000025",-0.446073202500754,0.0367888882083058,-12.1252156350853,7.76555314622113e-34,-0.519025952567788,-0.374777402108242,54511.5864191358,54674.5112484211
"HBS08000026",-0.0484858756606986,0.0249046653162088,-1.94685915450317,0.0515516226953989,-0.0976656468628078,-2.29657795080972e-05,54511.5864191358,54674.5112484211
"HBS08000028",0.115149003831847,0.0230009341235812,5.00627510227045,5.54934303984188e-07,0.0697645455491896,0.159934513075542,54511.5864191358,54674.5112484211
"HBS08000029",-0.140441737691471,0.0081260167371197,-17.2829742092373,6.32031464705888e-67,-0.156371499073223,-0.124517913500913,54511.5864191358,54674.5112484211
"HBS08000030",0.0938001738750912,0.00746836930767424,12.5596592791288,3.51844621298969e-36,0.0791659764935502,0.10844158792628,54511.5864191358,54674.5112484211
"HBS08000031",0.154717118006149,0.00625150462306506,24.7487808671399,3.19541423440564e-135,0.142478660879392,0.166984202284521,54511.5864191358,54674.5112484211
"HBS08000032",-0.335745550277721,0.00740987503254036,-45.3105550098078,0,-0.350264542416609,-0.321218226725604,54511.5864191358,54674.5112484211
"CancerTypeCervical",-2.86594137615572,0.0144079016790556,-198.914556747835,0,-2.89430046172364,-2.83782038831234,54511.5864191358,54674.5112484211
"CancerTypeColorectal",-0.394167156592885,0.00520888958352679,-75.6720122921103,0,-0.404379757128162,-0.383961219520551,54511.5864191358,54674.5112484211
"CancerTypeHead & Neck",-1.4402981011759,0.00756260519754044,-190.449992238696,0,-1.45514323102486,-1.42549818895896,54511.5864191358,54674.5112484211
"CancerTypeLung",-0.126747001472322,0.00483305522359782,-26.2250265325893,1.37766004627328e-151,-0.136220556364473,-0.117275275327614,54511.5864191358,54674.5112484211
"CancerTypeLymphoma",-1.52913796551984,0.00787121808764472,-194.269546148148,0,-1.54459103789482,-1.5137362243538,54511.5864191358,54674.5112484211
"CancerTypeMelanoma",-1.36142460942567,0.00732767987637226,-185.792042282785,0,-1.37580704786312,-1.34708290701523,54511.5864191358,54674.5112484211
"CancerTypeOvarian",-2.33926160912737,0.011191552986221,-209.020286282651,0,-2.36126328033288,-2.31739244916173,54511.5864191358,54674.5112484211
"CancerTypeUpper GI",-0.674636767455082,0.00569020683213406,-118.56102728028,0,-0.685796105148925,-0.663490821835579,54511.5864191358,54674.5112484211
"CancerTypeUrological",0.0518049170635219,0.00461808165977947,11.2178434423777,3.33299177740743e-29,0.0427540061470373,0.060856602095252,54511.5864191358,54674.5112484211
"Date",0.00400806654037234,0.000518970634193656,7.72310854659402,1.13526416151854e-14,0.00299128247205947,0.00502561378784811,54511.5864191358,54674.5112484211
"DateSquared",-6.29386390250323e-05,1.31232042545247e-05,-4.7959810580051,1.61880577987408e-06,-8.86677395417304e-05,-3.72256305504178e-05,54511.5864191358,54674.5112484211
