"","Estimate","Std. Error","z value","Pr(>|z|)","2.5%","97.5%","AIC","BIC"
"(Intercept)",-9.40883202200438,0.0270322957442387,-348.058933322733,0,-9.46211357369549,-9.35614598418045,343.51359755464,346.8407208469
"Date",0.0105892131288044,0.00115610904463079,9.15935497432782,5.22084396465824e-20,0.00832479651715759,0.0128568078310842,343.51359755464,346.8407208469
