"","Estimate","Std. Error","z value","Pr(>|z|)","2.5%","97.5%","AIC","BIC"
"(Intercept)",-8.47684136273692,0.00431395865483204,-1964.97974157496,0,-8.48530445613099,-8.46839402651943,1852.98729370567,1857.97797864406
"Date",0.00406597312401642,0.000518816286421864,7.83701905747474,4.61368051054395e-15,0.00304949121737711,0.00508321746969098,1852.98729370567,1857.97797864406
"DateSquared",-6.55043927378736e-05,1.31220602240333e-05,-4.9919289821503,5.9779236912787e-07,-9.12312643236775e-05,-3.97936063107856e-05,1852.98729370567,1857.97797864406
