"","Estimate","Std. Error","z value","Pr(>|z|)","2.5%","97.5%","AIC","BIC"
"(Intercept)",-7.75566673452581,0.0139877022507005,-554.463241747757,0,-7.78316333239856,-7.72833191732417,461.646463722394,468.300710306913
"Date",0.0026644439272539,0.000743024469231934,3.58594371731545,0.000335861396608305,0.00120822600929783,0.00412086368197979,461.646463722394,468.300710306913
"Pandemic_cat",-0.363027181707704,0.0445200469014542,-8.15424077407803,3.51380221983441e-16,-0.450810854284546,-0.276285430170191,461.646463722394,468.300710306913
"JustPandemic",0.0427953282363879,0.0105816175356711,4.04430873560899,5.24777289124452e-05,0.0220666970672657,0.0635486650615242,461.646463722394,468.300710306913
