"","Estimate","Std. Error","z value","Pr(>|z|)","2.5%","97.5%","AIC","BIC"
"(Intercept)",-8.65755418448355,0.0126477400049551,-684.513927475716,0,-8.68239713318452,-8.63281857763349,33560.6471617745,33865.2710224797
"HBS08000016",-0.110568391457739,0.02233750547836,-4.94989879531782,7.42520826483369e-07,-0.154529506793975,-0.0669643819238125,33560.6471617745,33865.2710224797
"HBS08000017",-0.147580098707927,0.0204633164321619,-7.2119345462487,5.51624903964716e-13,-0.187816808030473,-0.107599302460794,33560.6471617745,33865.2710224797
"HBS08000019",-0.0864037053968355,0.0158140693893072,-5.46372367983017,4.66249113696757e-08,-0.117421140173374,-0.0554299248295706,33560.6471617745,33865.2710224797
"HBS08000020",-0.223315846794152,0.0138860485463172,-16.0820298193022,3.41019739476003e-58,-0.250518239075377,-0.196085114560439,33560.6471617745,33865.2710224797
"HBS08000022",-0.230742089532524,0.016220113845285,-14.2256763259154,6.34875732101979e-46,-0.262563548517384,-0.19898056935056,33560.6471617745,33865.2710224797
"HBS08000024",-0.244858899690109,0.0128599027354241,-19.0404939079063,7.87812188080295e-81,-0.270032700169008,-0.219622146477658,33560.6471617745,33865.2710224797
"HBS08000025",-0.194345643888655,0.065854045570135,-2.95115724791237,0.00316585697040263,-0.326048636547539,-0.0677964676846824,33560.6471617745,33865.2710224797
"HBS08000026",0.0103908374953837,0.0480093970140943,0.216433409741289,0.828649926158135,-0.0850402633715172,0.103195163040163,33560.6471617745,33865.2710224797
"HBS08000028",0.185246992217873,0.0433091082724357,4.27732178304337,1.89155283003357e-05,0.0993038785628995,0.269103105642378,33560.6471617745,33865.2710224797
"HBS08000029",-0.306906205528204,0.015937597020347,-19.2567427283038,1.23933628528944e-82,-0.338168269004425,-0.27569280318719,33560.6471617745,33865.2710224797
"HBS08000030",-0.271154720515053,0.0153661397636252,-17.6462484844067,1.08744188593377e-69,-0.301285421598526,-0.241050159211163,33560.6471617745,33865.2710224797
"HBS08000031",-0.00893237316631207,0.0119233326994517,-0.749150710750762,0.453766373200222,-0.0322558669982638,0.0144832933139765,33560.6471617745,33865.2710224797
"HBS08000032",-0.514678816672855,0.0144446751124216,-35.6310413814887,4.63347073308004e-278,-0.542986066123593,-0.486363068276027,33560.6471617745,33865.2710224797
"CancerTypeCervical",-2.97569578934028,0.0271150147852399,-109.743469177826,0,-3.02926441825556,-2.92296788922357,33560.6471617745,33865.2710224797
"CancerTypeColorectal",-0.547401879887382,0.00963295546733665,-56.8259535449434,0,-0.566297583477982,-0.528536816916743,33560.6471617745,33865.2710224797
"CancerTypeHead & Neck",-1.91979761803132,0.0163861983862428,-117.159427267957,0,-1.9520405075243,-1.88780623547681,33560.6471617745,33865.2710224797
"CancerTypeLung",-0.397845379226014,0.00921633120365133,-43.1674351143539,0,-0.415919590309396,-0.379791996664978,33560.6471617745,33865.2710224797
"CancerTypeLymphoma",-2.11074601377536,0.0181928046332683,-116.02092455363,0,-2.14656962782042,-2.07525296006653,33560.6471617745,33865.2710224797
"CancerTypeMelanoma",-1.81430484391283,0.0156575778913089,-115.873914631451,0,-1.84510495647405,-1.78372703378291,33560.6471617745,33865.2710224797
"CancerTypeOvarian",-2.50834042743676,0.0214457089857095,-116.962345665896,0,-2.5506218227317,-2.46655251585228,33560.6471617745,33865.2710224797
"CancerTypeUpper GI",-0.905014512244439,0.0108599115754075,-83.3353481711455,0,-0.926330861369687,-0.883760383807501,33560.6471617745,33865.2710224797
"CancerTypeUrological",-0.484644083765683,0.0094438469270677,-51.3185026725295,0,-0.503166861385146,-0.466147403892879,33560.6471617745,33865.2710224797
"Date",0.00605663278048462,0.000305195312595399,19.8451042022194,1.21476512345528e-87,0.00545855851159201,0.00665490413309562,33560.6471617745,33865.2710224797
"JustPandemic",-0.0376034922017474,0.0076472843702889,-4.91723471770501,8.77752850267582e-07,-0.0526903548909533,-0.022711633347687,33560.6471617745,33865.2710224797
"HBS08000016:JustPandemic",0.00716499675228066,0.0143934838571725,0.497794475846113,0.618628909952755,-0.0213328502199833,0.0351056237874305,33560.6471617745,33865.2710224797
"HBS08000017:JustPandemic",0.0369492494121627,0.0126443296243374,2.92219916040815,0.00347569211912694,0.0120006180147149,0.0615763356297008,33560.6471617745,33865.2710224797
