"","Estimate","Std. Error","z value","Pr(>|z|)","2.5%","97.5%","AIC","BIC"
"(Intercept)",-7.73755415143438,0.013775518390361,-561.688782387202,0,-7.76463333180861,-7.71063387300806,529.512217784201,534.502902722589
"Date",0.000932838951745969,0.000715229632804422,1.30425098312594,0.192148021959912,-0.000468708910829069,0.00233496503774492,529.512217784201,534.502902722589
"JustPandemic",-0.0303440317496199,0.00585966005976596,-5.17846281868301,2.23721650363715e-07,-0.0418718651849659,-0.0189015303103727,529.512217784201,534.502902722589
