"","Estimate","Std. Error","z value","Pr(>|z|)","2.5%","97.5%","AIC","BIC"
"(Intercept)",-7.74854648909682,0.0150185832855911,-515.930586910338,0,-7.77807915897618,-7.71920688507742,570.710306054068,577.364552638586
"Date",-0.00228634642308052,0.00212725906301232,-1.07478513681494,0.282470936387363,-0.0064508538931634,0.0018879097119715,570.710306054068,577.364552638586
"DateSquared",4.83854048522765e-05,6.26366518430781e-05,0.772477510028716,0.439831662132407,-7.4483656060292e-05,0.000171049035481305,570.710306054068,577.364552638586
"JustPandemic",0.00483802385231193,0.00604395968425055,0.80047255525528,0.423437058391586,-0.00701051098231483,0.0166816839676028,570.710306054068,577.364552638586
