"","Estimate","Std. Error","z value","Pr(>|z|)","2.5%","97.5%","AIC","BIC"
"(Intercept)",-7.73336930681788,0.0150693192778852,-513.186373200473,0,-7.76300284826384,-7.70393163254004,503.353382573558,511.671190804206
"Date",-0.00651808608198826,0.00217897069838859,-2.99136013476848,0.00277737734469048,-0.0107834289477627,-0.00224194561481859,503.353382573558,511.671190804206
"DateSquared",0.000220467892771961,6.56374348632784e-05,3.35887429530407,0.000782606581343907,9.16840377177661e-05,0.000348980235356453,503.353382573558,511.671190804206
"Pandemic_cat",-0.273267684119804,0.03326991879936,-8.21365647953013,2.14552814860882e-16,-0.338696675523479,-0.208277083715487,503.353382573558,511.671190804206
"JustPandemic",0.046588163639549,0.00787628240298321,5.91499406139924,3.31887557247721e-09,0.0311582687457727,0.062033565084992,503.353382573558,511.671190804206
