"","Estimate","Std. Error","z value","Pr(>|z|)","2.5%","97.5%","AIC","BIC"
"(Intercept)",-7.77748984214014,0.0204544426259223,-380.234748234283,0,-7.81775932112955,-7.73757792012986,461.478927055478,469.796735286127
"Date",0.00681305835666302,0.00291822896590573,2.33465517485481,0.0195614417094303,0.00110366112974982,0.0125430929368925,461.478927055478,469.796735286127
"DateSquared",-0.000128784491336844,8.75722160356032e-05,-1.47060902609209,0.141396881541441,-0.000300683371125916,4.25983580642994e-05,461.478927055478,469.796735286127
"Pandemic_cat",-0.343332380834725,0.0465189829446383,-7.380479088361,1.5772094935832e-13,-0.434965936214584,-0.252603920894727,461.478927055478,469.796735286127
"JustPandemic",0.0478029348348978,0.0111175792959064,4.2997610867052,1.70982335448475e-05,0.0260250659258084,0.0696076024728172,461.478927055478,469.796735286127
